age,workclass,fnlwgt,education,occupation,relationship,race,sex,target,predicted_salary
"54"," State-gov","239256"," Some-college"," Adm-clerical"," Husband"," White"," Male","0","1"
"73"," Self-emp-not-inc","110102"," HS-grad"," Farming-fishing"," Not-in-family"," White"," Male","0","0"
"29"," State-gov","165764"," Bachelors"," Prof-specialty"," Wife"," Black"," Female","0","1"
"22"," Private","152744"," Some-college"," Adm-clerical"," Not-in-family"," Asian-Pac-Islander"," Female","0","0"
"57"," Local-gov","212303"," Masters"," Exec-managerial"," Husband"," White"," Male","1","1"
"41"," Self-emp-not-inc","118544"," HS-grad"," Craft-repair"," Husband"," White"," Male","0","0"
"39"," Private","269548"," 1st-4th"," Handlers-cleaners"," Husband"," White"," Male","0","0"
"25"," State-gov","319303"," Some-college"," Other-service"," Unmarried"," White"," Male","1","1"
"74"," Without-pay","216001"," 7th-8th"," Farming-fishing"," Husband"," White"," Male","0","0"
"45"," Private","205816"," HS-grad"," Other-service"," Wife"," White"," Female","1","1"
"18"," Private","427437"," HS-grad"," Sales"," Own-child"," Black"," Female","0","0"
"24"," Private","198259"," Bachelors"," Exec-managerial"," Own-child"," White"," Female","0","0"
"45"," Private","54314"," 9th"," Other-service"," Not-in-family"," White"," Male","0","0"
"32"," Private","195744"," HS-grad"," Craft-repair"," Not-in-family"," White"," Male","0","0"
"53"," Local-gov","294547"," Some-college"," Protective-serv"," Not-in-family"," White"," Male","0","1"
"50"," Private","77521"," 11th"," Priv-house-serv"," Unmarried"," White"," Female","0","0"
"35"," Private","288158"," HS-grad"," Craft-repair"," Husband"," White"," Male","0","0"
"24"," Private","125010"," Bachelors"," Adm-clerical"," Own-child"," White"," Female","0","0"
"32"," Private","80945"," HS-grad"," Machine-op-inspct"," Husband"," White"," Male","1","0"
"21"," Private","33016"," 10th"," Machine-op-inspct"," Own-child"," White"," Male","0","0"
"42"," Private","388725"," Masters"," Sales"," Not-in-family"," White"," Male","1","1"
"37"," Local-gov","347136"," Some-college"," Adm-clerical"," Not-in-family"," White"," Female","0","0"
"53"," Self-emp-inc","158294"," Assoc-voc"," Farming-fishing"," Husband"," White"," Male","1","1"
"34"," Private","362787"," 10th"," Other-service"," Unmarried"," Black"," Female","0","0"
"29"," Private","39388"," HS-grad"," Sales"," Not-in-family"," White"," Male","0","0"
"55"," Private","322691"," Masters"," Exec-managerial"," Own-child"," White"," Male","1","1"
"29"," Private","31659"," Some-college"," Craft-repair"," Not-in-family"," White"," Male","0","0"
"70"," Private","176940"," Some-college"," Adm-clerical"," Not-in-family"," White"," Female","0","0"
"26"," Local-gov","189027"," HS-grad"," Transport-moving"," Husband"," White"," Male","0","0"
"51"," Private","98719"," HS-grad"," Handlers-cleaners"," Unmarried"," White"," Male","0","0"
"58"," Private","172238"," HS-grad"," Exec-managerial"," Unmarried"," White"," Female","0","0"
"23"," ?","170456"," Some-college"," ?"," Own-child"," White"," Male","0","0"
"27"," Private","129009"," Bachelors"," Exec-managerial"," Not-in-family"," White"," Female","0","0"
"17"," Private","247580"," 12th"," Handlers-cleaners"," Own-child"," White"," Male","0","0"
"29"," Private","204516"," Bachelors"," Prof-specialty"," Not-in-family"," White"," Male","0","1"
"26"," Private","192652"," Bachelors"," Exec-managerial"," Not-in-family"," White"," Male","0","0"
"31"," Private","336543"," HS-grad"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male","1","1"
"29"," ?","143938"," HS-grad"," ?"," Unmarried"," Black"," Female","0","0"
"22"," Private","272591"," 10th"," Machine-op-inspct"," Not-in-family"," White"," Male","0","0"
"28"," Local-gov","312372"," HS-grad"," Handlers-cleaners"," Other-relative"," Black"," Male","0","0"
"28"," Local-gov","172270"," Some-college"," Adm-clerical"," Unmarried"," White"," Female","0","0"
"20"," Private","342414"," Some-college"," Transport-moving"," Own-child"," White"," Male","0","0"
"58"," Private","123886"," HS-grad"," Sales"," Other-relative"," Black"," Female","0","0"
"23"," Private","398130"," HS-grad"," Sales"," Not-in-family"," White"," Male","0","0"
"34"," Private","142989"," Bachelors"," Prof-specialty"," Husband"," White"," Male","0","1"
"32"," Private","331539"," HS-grad"," Craft-repair"," Not-in-family"," Other"," Male","0","0"
"19"," Private","225156"," 9th"," Craft-repair"," Husband"," White"," Male","0","0"
"18"," ?","311863"," HS-grad"," ?"," Own-child"," White"," Male","0","0"
"35"," Local-gov","170682"," 11th"," Prof-specialty"," Wife"," Black"," Female","0","0"
"21"," Private","96178"," HS-grad"," Other-service"," Own-child"," White"," Female","0","0"
"20"," ?","37932"," Some-college"," ?"," Own-child"," White"," Male","0","0"
"49"," Private","198126"," 7th-8th"," Farming-fishing"," Not-in-family"," White"," Male","0","0"
"34"," Private","344275"," Masters"," Prof-specialty"," Not-in-family"," White"," Male","1","1"
"37"," Private","112497"," Bachelors"," Sales"," Husband"," White"," Male","0","1"
"36"," Private","178487"," HS-grad"," Transport-moving"," Not-in-family"," White"," Male","0","0"
"44"," Private","55395"," Assoc-voc"," Protective-serv"," Husband"," White"," Male","0","1"
"39"," Local-gov","131239"," Masters"," Prof-specialty"," Husband"," White"," Male","0","1"
"36"," Self-emp-not-inc","104772"," Bachelors"," Prof-specialty"," Husband"," White"," Male","0","0"
"53"," Private","427320"," Bachelors"," Other-service"," Not-in-family"," Black"," Male","0","0"
"34"," ?","73296"," 11th"," ?"," Not-in-family"," Black"," Female","0","0"
"24"," Private","216853"," HS-grad"," Exec-managerial"," Husband"," White"," Male","0","0"
"40"," Private","259757"," Some-college"," Sales"," Husband"," White"," Male","0","1"
"47"," Private","200734"," HS-grad"," Priv-house-serv"," Not-in-family"," Black"," Female","0","0"
"19"," ?","87515"," HS-grad"," ?"," Own-child"," White"," Male","0","0"
"18"," Private","161245"," 11th"," Other-service"," Own-child"," White"," Male","0","0"
"32"," Private","262024"," HS-grad"," Other-service"," Own-child"," Black"," Male","0","0"
"21"," Private","287681"," HS-grad"," Machine-op-inspct"," Own-child"," White"," Male","0","0"
"27"," Private","303601"," 12th"," Farming-fishing"," Husband"," White"," Male","0","0"
"58"," ?","365410"," Some-college"," ?"," Other-relative"," White"," Female","0","0"
"29"," Self-emp-not-inc","394356"," HS-grad"," Farming-fishing"," Husband"," White"," Male","0","0"
"34"," Private","263150"," Some-college"," Exec-managerial"," Wife"," White"," Female","1","1"
"45"," State-gov","86618"," Masters"," Exec-managerial"," Not-in-family"," White"," Female","1","0"
"43"," Private","120277"," Bachelors"," Prof-specialty"," Own-child"," White"," Male","0","0"
"63"," Federal-gov","90393"," Some-college"," Adm-clerical"," Husband"," White"," Male","0","1"
"26"," Self-emp-inc","79078"," HS-grad"," Farming-fishing"," Not-in-family"," White"," Male","0","0"
"42"," State-gov","197344"," HS-grad"," Machine-op-inspct"," Husband"," White"," Male","0","1"
"21"," Private","120998"," Some-college"," Prof-specialty"," Not-in-family"," White"," Male","0","0"
"36"," Private","37522"," Bachelors"," Sales"," Husband"," White"," Male","1","1"
"44"," Private","96321"," Some-college"," Prof-specialty"," Husband"," White"," Male","1","1"
"18"," Private","217302"," HS-grad"," Other-service"," Not-in-family"," White"," Male","0","0"
"69"," Private","137109"," 10th"," Other-service"," Not-in-family"," White"," Female","0","0"
"40"," Private","227823"," Assoc-acdm"," Adm-clerical"," Own-child"," White"," Female","0","0"
"37"," Private","22149"," HS-grad"," Other-service"," Own-child"," Amer-Indian-Eskimo"," Male","0","0"
"39"," Private","176900"," HS-grad"," Transport-moving"," Husband"," White"," Male","1","1"
"57"," Private","154368"," Bachelors"," Exec-managerial"," Husband"," White"," Male","1","1"
"28"," Private","183445"," HS-grad"," Priv-house-serv"," Own-child"," White"," Female","0","0"
"23"," Private","193537"," HS-grad"," Adm-clerical"," Own-child"," Black"," Male","0","0"
"20"," Private","313873"," HS-grad"," Transport-moving"," Own-child"," White"," Male","0","0"
"46"," Private","34186"," HS-grad"," Handlers-cleaners"," Husband"," White"," Male","0","0"
"44"," State-gov","271807"," Masters"," Prof-specialty"," Not-in-family"," White"," Male","0","0"
"67"," ?","46449"," Bachelors"," ?"," Husband"," White"," Male","0","0"
"31"," Private","128065"," HS-grad"," Sales"," Husband"," White"," Male","0","1"
"24"," Private","176486"," Bachelors"," Other-service"," Not-in-family"," White"," Female","0","0"
"54"," Private","191072"," Bachelors"," Handlers-cleaners"," Not-in-family"," White"," Male","0","0"
"28"," Private","34452"," Assoc-voc"," Craft-repair"," Husband"," White"," Male","0","0"
"30"," State-gov","123253"," Bachelors"," Prof-specialty"," Husband"," White"," Male","0","1"
"42"," Private","113461"," HS-grad"," Machine-op-inspct"," Not-in-family"," White"," Male","0","0"
"17"," Private","116267"," 12th"," Craft-repair"," Own-child"," White"," Male","0","0"
"32"," Private","30433"," Bachelors"," Tech-support"," Other-relative"," White"," Female","0","0"
"25"," Private","198512"," Bachelors"," Exec-managerial"," Not-in-family"," White"," Female","0","0"
"49"," Self-emp-inc","131826"," Prof-school"," Prof-specialty"," Unmarried"," White"," Male","1","1"
"35"," Private","129764"," HS-grad"," Transport-moving"," Husband"," White"," Male","0","0"
"32"," Private","49398"," Bachelors"," Prof-specialty"," Not-in-family"," White"," Male","1","1"
"17"," Local-gov","292285"," 11th"," Prof-specialty"," Own-child"," White"," Female","0","0"
"61"," Federal-gov","91726"," Masters"," Tech-support"," Wife"," White"," Female","1","1"
"56"," Private","178282"," HS-grad"," Craft-repair"," Unmarried"," White"," Male","0","0"
"50"," Private","227458"," HS-grad"," Exec-managerial"," Unmarried"," White"," Male","0","0"
"32"," Private","183470"," Assoc-voc"," Craft-repair"," Husband"," Amer-Indian-Eskimo"," Male","0","0"
"41"," Private","275446"," Some-college"," Machine-op-inspct"," Not-in-family"," Black"," Male","0","0"
"41"," Private","328013"," Masters"," Prof-specialty"," Not-in-family"," Black"," Male","0","1"
"19"," Private","382688"," 10th"," Handlers-cleaners"," Not-in-family"," White"," Male","0","0"
"18"," Private","122988"," HS-grad"," Handlers-cleaners"," Own-child"," White"," Male","0","0"
"25"," Private","175537"," Bachelors"," Adm-clerical"," Own-child"," Black"," Female","0","0"
"21"," Private","256278"," HS-grad"," Other-service"," Other-relative"," Other"," Female","0","0"
"34"," Private","161153"," Bachelors"," Prof-specialty"," Husband"," White"," Male","1","1"
"31"," Private","48189"," 9th"," Farming-fishing"," Husband"," White"," Male","0","0"
"36"," Private","186531"," HS-grad"," Craft-repair"," Husband"," White"," Male","0","1"
"19"," Private","96866"," Some-college"," Other-service"," Other-relative"," White"," Female","0","0"
"35"," Private","117555"," Assoc-acdm"," Machine-op-inspct"," Husband"," White"," Male","0","1"
"18"," ?","98549"," HS-grad"," ?"," Own-child"," White"," Female","0","0"
"39"," Private","101782"," HS-grad"," Sales"," Not-in-family"," White"," Female","0","0"
"30"," Private","234753"," Assoc-voc"," Exec-managerial"," Wife"," White"," Female","1","0"
"59"," Private","59469"," Bachelors"," Craft-repair"," Husband"," White"," Male","1","1"
"28"," Private","614113"," Some-college"," Adm-clerical"," Unmarried"," Black"," Female","0","0"
"47"," Private","203505"," Doctorate"," Prof-specialty"," Own-child"," White"," Female","0","0"
"27"," Private","128365"," Bachelors"," Prof-specialty"," Own-child"," White"," Male","0","0"
"56"," Private","36990"," HS-grad"," Craft-repair"," Husband"," Black"," Male","1","1"
"18"," Private","303240"," HS-grad"," Sales"," Own-child"," White"," Female","0","0"
"76"," ?","217043"," 10th"," ?"," Husband"," White"," Male","0","0"
"56"," Private","176079"," HS-grad"," Adm-clerical"," Wife"," White"," Female","1","1"
"40"," Self-emp-inc","266047"," Bachelors"," Exec-managerial"," Not-in-family"," White"," Male","1","1"
"39"," Self-emp-inc","285890"," Some-college"," Prof-specialty"," Husband"," Black"," Male","1","1"
"24"," Private","70261"," HS-grad"," Other-service"," Own-child"," White"," Male","0","0"
"23"," Private","214236"," HS-grad"," Adm-clerical"," Not-in-family"," White"," Female","0","0"
"36"," Self-emp-not-inc","143385"," HS-grad"," Farming-fishing"," Husband"," White"," Male","0","0"
"55"," Private","150507"," Some-college"," Adm-clerical"," Husband"," White"," Male","0","1"
"23"," Private","292264"," Some-college"," Sales"," Husband"," White"," Male","0","0"
"39"," Self-emp-inc","110861"," Bachelors"," Sales"," Husband"," White"," Male","1","1"
"32"," Private","225064"," HS-grad"," Craft-repair"," Own-child"," White"," Male","0","0"
"32"," Private","154120"," HS-grad"," Other-service"," Husband"," White"," Male","0","0"
"17"," Private","34465"," 11th"," Handlers-cleaners"," Own-child"," White"," Male","0","0"
"29"," Private","89598"," Bachelors"," Exec-managerial"," Wife"," White"," Female","0","0"
"54"," Private","183668"," HS-grad"," Handlers-cleaners"," Husband"," White"," Male","0","1"
"37"," Private","189382"," Assoc-acdm"," Adm-clerical"," Not-in-family"," White"," Female","0","0"
"67"," ?","165103"," Bachelors"," ?"," Husband"," White"," Male","1","1"
"48"," Private","44216"," Masters"," Adm-clerical"," Not-in-family"," White"," Female","0","0"
"17"," Private","150471"," 10th"," Other-service"," Own-child"," White"," Female","0","0"
"41"," Private","32627"," HS-grad"," Other-service"," Not-in-family"," White"," Male","0","0"
"43"," Self-emp-not-inc","153109"," Assoc-acdm"," Exec-managerial"," Unmarried"," White"," Female","0","0"
"29"," Private","352451"," HS-grad"," Machine-op-inspct"," Unmarried"," Black"," Female","0","0"
"43"," Private","176716"," Bachelors"," Transport-moving"," Husband"," White"," Male","1","1"
"46"," Federal-gov","171850"," HS-grad"," Exec-managerial"," Not-in-family"," White"," Male","0","0"
"42"," Private","260496"," HS-grad"," Machine-op-inspct"," Own-child"," Black"," Female","0","0"
"36"," Private","154410"," Bachelors"," Sales"," Husband"," White"," Male","1","1"
"31"," Self-emp-not-inc","23500"," HS-grad"," Craft-repair"," Husband"," White"," Male","0","0"
"60"," Private","178312"," 11th"," Sales"," Husband"," White"," Male","1","1"
"50"," Private","62593"," Assoc-voc"," Farming-fishing"," Husband"," Asian-Pac-Islander"," Male","1","1"
"30"," Private","123291"," Some-college"," Machine-op-inspct"," Not-in-family"," White"," Male","0","0"
"22"," Private","313817"," HS-grad"," Transport-moving"," Husband"," White"," Male","0","0"
"57"," State-gov","229270"," Bachelors"," Exec-managerial"," Husband"," Other"," Male","0","0"
"43"," Private","212027"," Bachelors"," Prof-specialty"," Not-in-family"," Black"," Male","0","0"
"58"," Private","259532"," Some-college"," Transport-moving"," Husband"," White"," Male","0","1"
"26"," Local-gov","213258"," Bachelors"," Prof-specialty"," Own-child"," White"," Male","0","0"
"26"," Private","316337"," Some-college"," Machine-op-inspct"," Husband"," Amer-Indian-Eskimo"," Male","0","0"
"38"," Private","179123"," Some-college"," Exec-managerial"," Not-in-family"," White"," Female","1","0"
"26"," Private","191765"," Bachelors"," Prof-specialty"," Not-in-family"," White"," Male","0","0"
"59"," Self-emp-inc","188877"," HS-grad"," Sales"," Husband"," White"," Male","1","1"
"41"," Private","55395"," Some-college"," Other-service"," Unmarried"," White"," Male","0","0"
"21"," Private","161051"," Some-college"," Tech-support"," Own-child"," Black"," Female","0","0"
"30"," Private","241844"," HS-grad"," Handlers-cleaners"," Own-child"," Black"," Male","0","0"
"36"," Private","232142"," Some-college"," Handlers-cleaners"," Husband"," White"," Male","0","1"
"43"," Private","311534"," Some-college"," Craft-repair"," Husband"," White"," Male","1","1"
"68"," Self-emp-not-inc","128986"," 7th-8th"," Farming-fishing"," Husband"," White"," Male","0","0"
"18"," Private","67019"," HS-grad"," Other-service"," Not-in-family"," White"," Female","0","0"
"23"," Private","208826"," Bachelors"," Exec-managerial"," Unmarried"," White"," Female","0","0"
"43"," Private","256813"," Masters"," Prof-specialty"," Husband"," White"," Male","1","1"
"44"," Private","160919"," HS-grad"," Other-service"," Unmarried"," White"," Female","0","0"
"43"," Private","107584"," Some-college"," Sales"," Husband"," White"," Male","0","1"
"59"," Self-emp-inc","159472"," HS-grad"," Sales"," Husband"," White"," Male","0","1"
"35"," Private","408318"," 7th-8th"," Other-service"," Not-in-family"," White"," Male","0","0"
"61"," Private","194956"," HS-grad"," Machine-op-inspct"," Husband"," White"," Male","1","0"
"52"," State-gov","21764"," Some-college"," Exec-managerial"," Husband"," White"," Male","1","1"
"37"," Private","277347"," HS-grad"," Craft-repair"," Husband"," White"," Male","1","1"
"57"," Private","104455"," Some-college"," Sales"," Own-child"," Asian-Pac-Islander"," Female","1","0"
"30"," Private","117584"," Masters"," Prof-specialty"," Not-in-family"," Black"," Female","0","0"
"38"," Private","131288"," Assoc-voc"," Farming-fishing"," Not-in-family"," White"," Male","0","0"
"46"," Private","99014"," Some-college"," Other-service"," Own-child"," White"," Female","0","0"
"22"," Private","141003"," HS-grad"," Other-service"," Own-child"," White"," Male","0","0"
"64"," Private","344014"," Some-college"," Tech-support"," Unmarried"," Black"," Female","0","0"
"45"," Private","175600"," Assoc-voc"," Sales"," Not-in-family"," White"," Male","0","0"
"31"," Local-gov","240504"," Some-college"," Protective-serv"," Husband"," Black"," Male","1","1"
"20"," Private","174436"," HS-grad"," Craft-repair"," Own-child"," White"," Male","0","0"
"29"," Private","194869"," Some-college"," Sales"," Not-in-family"," White"," Male","0","0"
"23"," Private","164901"," Some-college"," Exec-managerial"," Own-child"," White"," Male","0","0"
"62"," Private","72886"," Bachelors"," Exec-managerial"," Husband"," White"," Male","0","1"
"41"," Self-emp-inc","130126"," Some-college"," Farming-fishing"," Husband"," White"," Male","1","1"
"42"," Self-emp-inc","196514"," Bachelors"," Prof-specialty"," Not-in-family"," White"," Male","0","0"
"31"," Private","103651"," Bachelors"," Exec-managerial"," Husband"," White"," Male","1","1"
"25"," Private","261419"," Bachelors"," Sales"," Own-child"," White"," Male","0","0"
"61"," Private","206339"," 10th"," Transport-moving"," Not-in-family"," White"," Male","0","0"
"27"," Private","445365"," Bachelors"," Adm-clerical"," Not-in-family"," White"," Male","0","0"
"40"," Private","227466"," HS-grad"," Transport-moving"," Husband"," Black"," Male","0","1"
"49"," Private","96854"," HS-grad"," Other-service"," Unmarried"," White"," Male","0","0"
"21"," Private","163595"," Some-college"," Craft-repair"," Not-in-family"," White"," Male","0","0"
"22"," State-gov","181096"," Bachelors"," Prof-specialty"," Own-child"," Black"," Male","0","0"
"24"," Private","95984"," Assoc-voc"," Sales"," Not-in-family"," White"," Male","0","0"
"37"," Private","472517"," Assoc-voc"," Other-service"," Not-in-family"," White"," Female","0","0"
"46"," Local-gov","60751"," Assoc-voc"," Exec-managerial"," Husband"," White"," Male","1","1"
"35"," Private","107302"," Bachelors"," Sales"," Husband"," White"," Male","1","1"
"41"," Private","106501"," Assoc-acdm"," Exec-managerial"," Husband"," White"," Male","1","1"
"23"," Private","32732"," Some-college"," Machine-op-inspct"," Not-in-family"," White"," Male","0","0"
"34"," Self-emp-inc","174789"," HS-grad"," Sales"," Husband"," White"," Male","0","1"
"39"," Private","301628"," Some-college"," Exec-managerial"," Wife"," White"," Female","1","1"
"29"," Private","27436"," HS-grad"," Other-service"," Not-in-family"," White"," Female","0","0"
"24"," Private","93977"," HS-grad"," Machine-op-inspct"," Husband"," White"," Male","0","0"
"54"," Private","139127"," HS-grad"," Other-service"," Not-in-family"," White"," Female","0","0"
"28"," Private","258231"," Some-college"," Sales"," Not-in-family"," White"," Female","0","0"
"25"," Self-emp-not-inc","136309"," 11th"," Sales"," Own-child"," White"," Male","0","0"
"50"," Private","266433"," Some-college"," Tech-support"," Not-in-family"," White"," Female","0","0"
"59"," Private","140363"," HS-grad"," Craft-repair"," Husband"," White"," Male","1","1"
"58"," Private","179715"," Bachelors"," Prof-specialty"," Husband"," White"," Male","1","1"
"55"," Private","204816"," Some-college"," Exec-managerial"," Husband"," White"," Male","1","1"
"58"," Private","35520"," Some-college"," Handlers-cleaners"," Husband"," White"," Male","1","1"
"46"," Private","101320"," Bachelors"," Prof-specialty"," Unmarried"," White"," Female","1","0"
"40"," Private","210857"," Some-college"," Exec-managerial"," Husband"," White"," Male","1","1"
"40"," Self-emp-not-inc","60949"," Assoc-voc"," Craft-repair"," Husband"," White"," Male","0","1"
"57"," Local-gov","139095"," HS-grad"," Adm-clerical"," Unmarried"," White"," Female","0","0"
"46"," Private","233493"," HS-grad"," Machine-op-inspct"," Husband"," White"," Male","0","0"
"36"," Private","176249"," HS-grad"," Craft-repair"," Not-in-family"," White"," Male","0","0"
"29"," Private","187746"," Some-college"," Other-service"," Own-child"," White"," Female","0","0"
"32"," Private","49593"," HS-grad"," Adm-clerical"," Not-in-family"," Black"," Female","0","0"
"24"," Self-emp-not-inc","240160"," HS-grad"," Craft-repair"," Not-in-family"," White"," Male","0","0"
"63"," Private","76286"," Masters"," Prof-specialty"," Husband"," Other"," Male","1","1"
"23"," Private","65225"," Some-college"," Other-service"," Own-child"," White"," Female","0","0"
"36"," Private","225330"," HS-grad"," Other-service"," Unmarried"," White"," Female","0","0"
"31"," Private","101562"," Bachelors"," Sales"," Not-in-family"," White"," Female","1","0"
"52"," Self-emp-not-inc","27539"," Some-college"," Farming-fishing"," Husband"," White"," Male","1","1"
"60"," Local-gov","227311"," 10th"," Adm-clerical"," Unmarried"," White"," Female","0","0"
"29"," ?","51260"," HS-grad"," ?"," Not-in-family"," Black"," Male","0","0"
"31"," Private","256609"," HS-grad"," Handlers-cleaners"," Not-in-family"," White"," Male","0","0"
"35"," Local-gov","123939"," HS-grad"," Adm-clerical"," Not-in-family"," White"," Female","0","0"
"24"," Federal-gov","203182"," Bachelors"," Exec-managerial"," Not-in-family"," White"," Female","0","0"
"38"," Private","111128"," Some-college"," Adm-clerical"," Own-child"," White"," Male","0","0"
"42"," Private","112451"," HS-grad"," Other-service"," Not-in-family"," Amer-Indian-Eskimo"," Male","0","0"
"44"," ?","177461"," Some-college"," ?"," Unmarried"," Amer-Indian-Eskimo"," Male","0","0"
"24"," Private","332155"," HS-grad"," Handlers-cleaners"," Other-relative"," White"," Male","0","0"
"42"," Local-gov","178983"," Bachelors"," Prof-specialty"," Unmarried"," White"," Female","0","0"
"54"," Private","199392"," 5th-6th"," Machine-op-inspct"," Other-relative"," White"," Female","0","0"
"19"," Private","311015"," HS-grad"," Other-service"," Not-in-family"," White"," Male","0","0"
"20"," Private","126038"," Some-college"," Other-service"," Own-child"," White"," Female","0","0"
"21"," Private","402124"," Assoc-voc"," Machine-op-inspct"," Not-in-family"," White"," Male","0","0"
"30"," Private","198660"," HS-grad"," Handlers-cleaners"," Husband"," White"," Male","0","0"
"26"," ?","228457"," 11th"," ?"," Not-in-family"," White"," Male","0","0"
"34"," Self-emp-inc","223267"," HS-grad"," Craft-repair"," Husband"," White"," Male","0","0"
"22"," Self-emp-not-inc","249046"," Some-college"," Other-service"," Own-child"," White"," Male","0","0"
"45"," Self-emp-not-inc","127948"," Bachelors"," Exec-managerial"," Husband"," White"," Male","0","1"
"32"," Private","154785"," Some-college"," Adm-clerical"," Unmarried"," Asian-Pac-Islander"," Female","0","0"
"28"," Private","248404"," Some-college"," Exec-managerial"," Not-in-family"," White"," Male","0","0"
"31"," Private","137978"," Bachelors"," Exec-managerial"," Husband"," White"," Male","0","1"
"40"," Private","144778"," HS-grad"," Exec-managerial"," Husband"," White"," Male","1","1"
"30"," Private","133250"," Some-college"," Craft-repair"," Husband"," White"," Male","0","1"
"28"," Private","402771"," Assoc-voc"," Exec-managerial"," Not-in-family"," White"," Female","0","0"
"47"," ?","97075"," HS-grad"," ?"," Unmarried"," White"," Female","0","0"
"21"," Private","116234"," Some-college"," Machine-op-inspct"," Not-in-family"," White"," Male","0","0"
"25"," Local-gov","262818"," Bachelors"," Prof-specialty"," Own-child"," White"," Male","0","0"
"47"," Private","138342"," HS-grad"," Craft-repair"," Husband"," White"," Male","0","1"
"50"," Private","123374"," Bachelors"," Prof-specialty"," Husband"," White"," Male","1","1"
"23"," Private","202373"," HS-grad"," Sales"," Own-child"," Black"," Male","0","0"
"54"," Self-emp-not-inc","180522"," HS-grad"," Sales"," Husband"," White"," Male","0","0"
"24"," Local-gov","140647"," HS-grad"," Other-service"," Own-child"," Black"," Male","0","0"
"50"," Private","136898"," Assoc-voc"," Exec-managerial"," Unmarried"," White"," Female","0","0"
"29"," Private","140927"," Bachelors"," Adm-clerical"," Husband"," White"," Male","0","1"
"36"," Private","114055"," Assoc-voc"," Prof-specialty"," Unmarried"," White"," Female","0","0"
"46"," Private","114222"," Assoc-voc"," Exec-managerial"," Not-in-family"," White"," Male","0","0"
"39"," Self-emp-inc","51089"," Bachelors"," Prof-specialty"," Husband"," White"," Male","0","1"
"46"," Private","37353"," Some-college"," Handlers-cleaners"," Husband"," White"," Male","0","1"
"36"," Local-gov","379672"," Assoc-voc"," Exec-managerial"," Unmarried"," White"," Female","0","0"
"64"," Private","130727"," HS-grad"," Adm-clerical"," Not-in-family"," White"," Female","0","0"
"51"," Private","172046"," Bachelors"," Exec-managerial"," Husband"," White"," Male","1","1"
"57"," Private","228764"," Assoc-voc"," Machine-op-inspct"," Not-in-family"," Black"," Male","0","0"
"21"," Private","376393"," HS-grad"," Adm-clerical"," Own-child"," White"," Female","0","0"
"53"," Private","185283"," HS-grad"," Craft-repair"," Husband"," White"," Male","1","1"
"61"," Self-emp-not-inc","195789"," Masters"," Exec-managerial"," Husband"," White"," Male","0","1"
"50"," Private","243115"," HS-grad"," Adm-clerical"," Other-relative"," White"," Female","0","0"
"74"," Private","147558"," Some-college"," Sales"," Not-in-family"," White"," Female","1","1"
"22"," State-gov","62865"," Some-college"," Adm-clerical"," Not-in-family"," White"," Female","0","0"
"25"," Self-emp-not-inc","275197"," HS-grad"," Farming-fishing"," Own-child"," White"," Male","0","0"
"63"," Self-emp-not-inc","124015"," Masters"," Prof-specialty"," Not-in-family"," White"," Male","1","1"
"38"," Self-emp-inc","282951"," Some-college"," Prof-specialty"," Not-in-family"," White"," Male","0","0"
"46"," Private","105253"," Masters"," Prof-specialty"," Husband"," White"," Male","1","1"
"31"," Private","119164"," HS-grad"," Exec-managerial"," Other-relative"," White"," Male","0","0"
"35"," Self-emp-not-inc","263081"," Some-college"," Other-service"," Not-in-family"," Black"," Male","0","0"
"54"," Private","96062"," Bachelors"," Prof-specialty"," Husband"," White"," Male","0","1"
"50"," Private","44942"," HS-grad"," Machine-op-inspct"," Husband"," White"," Male","1","1"
"37"," Federal-gov","127879"," Some-college"," Exec-managerial"," Own-child"," Black"," Female","0","0"
"37"," Private","109633"," HS-grad"," Other-service"," Not-in-family"," White"," Female","0","0"
"29"," Private","109404"," Bachelors"," Sales"," Not-in-family"," White"," Male","0","0"
"56"," Private","126677"," HS-grad"," Machine-op-inspct"," Husband"," White"," Male","1","1"
"52"," Private","101113"," HS-grad"," Transport-moving"," Husband"," White"," Male","1","1"
"40"," Private","117523"," Bachelors"," Exec-managerial"," Not-in-family"," White"," Female","0","0"
"29"," Private","183523"," Masters"," Prof-specialty"," Husband"," White"," Male","1","1"
"46"," Self-emp-not-inc","311231"," HS-grad"," Farming-fishing"," Husband"," White"," Male","0","0"
"49"," Private","459556"," Assoc-voc"," Craft-repair"," Husband"," Black"," Male","0","1"
"37"," Private","95551"," Some-college"," Sales"," Not-in-family"," White"," Female","0","0"
"36"," Private","126675"," Bachelors"," Craft-repair"," Husband"," White"," Male","0","1"
"32"," Private","200246"," Some-college"," Craft-repair"," Husband"," White"," Male","1","1"
"53"," Private","108435"," HS-grad"," Tech-support"," Husband"," White"," Male","0","1"
"18"," Private","141332"," 11th"," Sales"," Own-child"," Black"," Male","0","0"
"48"," Private","117310"," HS-grad"," Adm-clerical"," Wife"," White"," Female","0","1"
"26"," Private","182380"," HS-grad"," Craft-repair"," Not-in-family"," White"," Male","0","0"
"64"," ?","226878"," Masters"," ?"," Wife"," Black"," Female","1","1"
"49"," Private","123807"," HS-grad"," Adm-clerical"," Unmarried"," Black"," Female","0","0"
